Name,Cost,Mission/DilemmaType,Text
Artificial Ability *VP,2,D,"Your opponent names an attribute (Integrity, Cunning, or Strength). Each personnel with that attribute>7 is stopped."
Sylvia *VP,8,P,"For each event your opponent commands in his or her core, this dilemma is cost -1 (-2 for each Decay event). Unless you have 2 Leadership, Officer, Security, and Cunning>38 or 2 Engineer, Programming, and 2 Science, randomly select two personnel to be placed in your opponent's brig."
Unbelievable Emergency *VP,4,S,"Your opponent names a skill. For each headquarters mission you command, randomly select two personnel to be stopped. If either of those personnel that is selected has the named skill, kill that personnel instead."
The Dal'Rok *VP,3,D,"Unless your personnel have a total cost>17, for each headquarters mission you command, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
Chained Environment,4,P,"Unless you have 2 Diplomacy and 2 Geology or Cunning>36, all your personnel are stopped and, if there are no other dilemmas on this mission, place this dilemma on this mission. Add Science to each of this mission's requirements."
Chula: The Game,0,D,"Place this dilemma on this mission. When your personnel are about to face a dilemma whose title begins with ""Chula"" here, randomly select one of your personnel attempting this mission to be stopped. When your personnel complete this mission, this dilemma is overcome."
Chula: Trickery,2,D,"Randomly select three personnel. Unless those personnel have 2 Officer or twelve different skills, all three are stopped."
Discommendation,2,D,"Randomly select three personnel. If any of those personnel is a [Kli] personnel, they are all stopped. Otherwise, choose one of those personnel to be stopped."
Legal Inflexibility,3,P,"Unless you have 2 Transporters and Strength>32 or Law and Cunning>32, all your personnel are stopped. When this dilemma is overcome, if it was prevented, your opponent may choose one of your personnel involved in the mission attempt to be placed in your opponent's brig."
Nonlinear Existence,2,S,"Your opponent chooses a card in his or her discard pile. Unless you discard a card from hand of the same card type, randomly select a personnel to be stopped and this dilemma returns to its owner's dilemma pile."
Pawn Against Pawn,4,D,"Your opponent returns a random personnel in his or her discard pile to his or her owner's hand. Unless you have the skills on that personnel, all your personnel are stopped."
Rapid Progress,3,D,"Your opponent removes any number of cards from his or her discard pile from the game and names a different skill (except Acquisition, Intelligence, Law, or Telepathy) for each different card type removed. Unless you have those skills, all your personnel are stopped."
Rejecting the Past,0,D,This dilemma is cost +1 for each card in your opponent's discard pile (limit 6). Randomly select two personnel to be stopped.
The Nth Degree,4,S,"Unless you have 2 Engineer and 2 Leadership or Cunning>36, all your personnel are stopped and, if there are no other dilemmas on this mission, place this dilemma on this mission. Add Science to each of this mission's requirements."
Counterinsurgency Program *VP,2,D,"Your opponent discards any number of event or equipment cards from hand and names a skill (except Acquisition, Intelligence, Law or Telepathy) for each one. Unless you have those skills, all your personnel are stopped."
Harsh Conditions *VP,3,P,"For each headquarters mission you command, your opponent names a skill. Place this dilemma on this mission. While your personnel is facing a dilemma, he or she cannot use those skills. At the end of this mission attempt, this dilemma is overcome."
The Weak Will Perish *VP,3,D,"Randomly select a personnel. Unless that personnel has Telepathy or Strength>6, place this dilemma in your core. That personnel is killed."
Charismatic Mimic,2,D,"Choose a personnel with 2 Acquisition or a personnel with 2 Diplomacy to be stopped. If you cannot, place this dilemma in your core."
Artistic License,2,D,Choose a number of personnel to be stopped equal to the number of different dilemmas beneath this mission.
Commanding Presence,3,S,"Unless you have 3 Security or 2 Navigation and Cunning>30 or a personnel with 2 Honor, all your personnel are stopped and this dilemma is placed in your core."
Dubious Decoy,1,P,"Choose a personnel with 2 Transporters or a personnel with 2 Treachery to be stopped. If you cannot, place this dilemma in your core."
Flare of Rage,5,P,"For each Persistent dilemma beneath this mission, this dilemma is cost -1. Unless you have Anthropology, Medical, 2 Security, and Strength>35 or 2 Archaeology, Transporters, and 2 Treachery, randomly select two personnel to be removed from the game."
Frozen by Fear,5,S,"For each Persistent dilemma beneath this mission, this dilemma is cost -1. Unless you have 2 Honor, Law, Medical, and Cunning>35 or Officer, 2 Science, and 2 Treachery, randomly select two personnel to be removed from the game."
Generous Offer,3,D,"When your opponent reveals this dilemma, he or she may give you command of his or her Commodity to add 10 to each of this dilemma's attribute requirements. Unless you have Archaeology and Cunning>30 or Diplomacy and Strength>30, all your personnel are stopped."
On Guard,1,S,"Choose a personnel with 2 Honor or a personnel with 2 Security to be stopped. If you cannot, place this dilemma in your core."
Peremptory Plea,1,D,Choose a personnel who has Biology to be stopped. The next dilemma revealed during this mission attempt is cost -1 for each Genetically Enhanced personnel the opponent on your left commands.
Pest Control,2,S,"Unless you have 2 Engineer and 2 Exobiology or Transporters, 2 Treachery, and Cunning>34, randomly select two personnel to be stopped and place this dilemma in your core. At the start of each of your turns, discard the top card of your deck."
Unconventional Consideration,2,D,"Choose a personnel who has Acquisition or Intelligence or Law or Telepathy to be stopped. If you cannot, all your personnel are stopped."
The Weak Will Perish,3,D,"Randomly select a personnel. Unless that personnel has Telepathy or Strength>6, place this dilemma in your core. That personnel is killed."
Unusual Simulacrum,2,D,"Place this dilemma on this mission. Each personnel facing a Species 8472 dilemma here cannot gain skills. At the end of this turn, if this mission is not complete, place this dilemma in your core. Otherwise, it is overcome."
Friendly Fire,4,D,"For each of your headquarters missions, randomly select a personnel to be killed. You may discard two events from hand to prevent this."
Historical Curiosity,3,S,"Unless you have Anthropology, Law, and Transporters or Shields>8, randomly select two personnel to be stopped and your opponent draws up to two cards."
Moral Choice *VP,2,D,"Randomly select three personnel. If any of those personnel is a [Fed] personnel, they are all stopped. Otherwise, choose one of those personnel to be stopped."
Temptation *VP,3,D,Randomly select three personnel. Each of those personnel that does not have Honor or Treachery is stopped.
Chula: The Chandra *VP,4,D,Randomly select a personnel. Repeat this until you select a personnel with a cost equal to or greater than the first personnel that you selected. Stop each selected personnel.
Abrasive Allies,2,P,"Unless you command personnel with more different affiliations than the owner of this dilemma, your opponent chooses a personnel to be stopped."
Dramatis Personae,3,P,"Unless you have 2 Medical and 2 Science or 2 Archaeology and Transporters, your opponent chooses one: kill the personnel with the fewest [SD]; or, kill the personnel with the lowest total attributes."
Indecent Proposal,3,D,"Randomly select a personnel who costs 5 or more to be stopped. If you cannot, your opponent chooses a personnel to be stopped. If a personnel who costs 5 or more was stopped by this dilemma, return this dilemma to its owner's dilemma pile."
Mutinous Guests,3,S,"Unless you have 3 Security or 2 Vulcans, all your personnel are stopped and your opponent may place a ship at this mission at your planet mission."
Precarious Position,2,S,"Unless you have 2 Engineer and Officer or Science and Cunning>40, randomly select a personnel to be killed and your opponent may destroy up to two events in your core."
A Taste of Armageddon,4,P,Randomly select a personnel with a skill required by this mission to be killed. The opponent on your left may discard an interrupt from hand to randomly select an additional personnel to be killed.
Compromised Tactics,3,D,"Your opponent chooses a personnel they command but do not own. Your copies of that personnel are stopped. Unless you have the skills on that personnel, all your personnel are stopped."
Dead Ringer,3,D,"Your opponent chooses a personnel. You may replace him or her with a personnel in your discard pile that has at least one of the same skills. If you do, place the personnel your opponent chose in your discard pile. Otherwise, all your personnel are stopped."
Divide and Conquer,3,P,"When your opponent reveals this dilemma, add 5 to each of this dilemma's attribute requirements for each interrupt in that opponent's discard pile. Unless you have 2 Diplomacy and Cunning>20 or 2 Security and Strength>20, all your personnel are stopped."
Intelligent Design,2,D,"Choose a personnel with Cunning>7 to be stopped. If you cannot, place this dilemma in your core. While this dilemmas is in your core, your opponent's Holograms are each attributes +1."
Put to the Screws,4,D,"Your opponent names two different skills. Choose one of the named skills. If you have two or more personnel who have that skill, randomly select all but one of those personnel to be stopped."
Qualification,3,S,"When your opponent reveals this dilemma, add 5 to each of this dilemma's attribute requirements for each interrupt in that opponent's discard pile. Unless you have 2 Transporters and Integrity>20 or 2 Treachery and Strength>20, all your personnel are stopped."
Simulated Prey,4,S,Randomly select a personnel with a skill required by this mission to be killed. The opponent on your left may discard an interrupt from hand to randomly select an additional personnel to be killed.
Historical Curiosity *VP,3,S,"Unless you have Anthropology, Law, and Transporters or Shields>8, randomly select two personnel to be stopped and your opponent draws up to two cards."
Anachronistic Deviation,2,D,"If you command a [Pa] ship at this mission, randomly select a non-[Pa] personnel to be killed. If you command a non-[Pa] ship at this mission, randomly select a [Pa] personnel to be killed. This dilemma returns to its owner's dilemma pile."
Dumb Waiter,5,D,"Your opponent reveals one of his or her personnel at this mission. Unless you have the skills on that personnel, your opponent chooses three personnel to be stopped."
Strength of Arms,2,P,"Your opponent places a ship you command at this mission. Unless you have Diplomacy and a unique ship at this mission or Treachery and a ship with Weapons>7 at this mission, your opponent chooses a personnel to be stopped."
Unsound Logic,4,D,"If your opponent commands an {Assassin} at this mission, he or she chooses a personnel to be killed. If he or she returns that Assassin to his or her hand, he or she chooses an additional personnel to be killed."
Entanglement *VP,1,D,Your opponent may spend three extra in total cost on dilemmas during this mission attempt.
Occupational Hazards *VP,3,D,"Unless you have 2 Acquisition or 2 Treachery, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
Alternatives to Fighting,3,S,"Unless you have Navigation and Weapons>7 or this mission is a {Nebula} mission, place your ship at a Nebula mission. If you cannot, all your personnel are stopped and place this dilemma on your ship. Damage - This ship is attributes -2."
Becalmed,0,D,Add the span of this mission to this dilemma's cost. Randomly select three personnel. Each of those personnel with an attribute>6 is stopped.
Brave Words,2,D,"Unless the missions you command have greater total span than the mission your opponent commands, your opponent chooses a personnel to be stopped."
Cornered,3,P,"Unless you have 2 Astrometrics and 2 Navigation or command a completed mission with span 4 or more, randomly select two personnel to be killed."
Dead Weight,3,D,Each of your personnel who does not have a skill required by this mission is stopped.
A Private Little War (IDR),4,D,"Randomly select a personnel to be stopped. Unless you have Honor, Medical, Science, and Integrity>32 or Engineer, Security, Treachery, and Strength>32, randomly select a second personnel to be stopped and your opponent may download an equipment."
Dark Page (IDR),2,D,"Choose a personnel who has Anthropology or Exobiology to be stopped. If you cannot, randomly select a personnel to be killed."
In Development (IDR),6,D,"For each headquarters mission you command, this dilemma is cost -1. Randomly select a personnel who has a cost of 2 or less. All your other personnel who have a cost of 2 or less are stopped."
Inhumane Interrogation (IDR),4,D,Randomly select a personnel to be killed. You may destroy an event in your core to prevent this.
Pillage and Plunder (IDR),1,P,"Choose a personnel who has Archaeology or Treachery to be stopped. If you cannot, randomly select a personnel to be killed."
Setting the Stage (IDR),2,D,Randomly select nine personnel. All your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
The Clown: Go Away (IDR),2,D,"Place this dilemma on this mission. At the start of each of your turns, if you command no personnel or ships that you own at this mission, remove this dilemma from the game. When personnel begin a mission attempt at this mission, randomly select a personnel to be returned to their owner's hand."
The First Duty (IDR),1,S,"Choose a personnel who has Honor or Law to be stopped. If you cannot, randomly select a personnel to be killed."
Guess Who's Coming to Dinner? *VP,2,D,"Choose a personnel who has Diplomacy or Integrity>6 to be stopped. If you cannot, randomly select a personnel to be killed."
Picking Up the Pieces *VP,2,P,"Unless you have Geology or Programming, all your personnel are stopped. If you have two or more personnel who have Geology or Programming, randomly select all but one of those personnel to be stopped."
Tragic Turn *VP,3,D,"Place this dilemma on this mission (limit one per mission). When a dilemma is overcome here, if that dilemma killed any of your personnel, randomly select a personnel attempting the mission to be killed. Otherwise, if that dilemma stopped any of your personnel, randomly select a personnel attempting the mission to be stopped."
Pitching In *VP,4,D,"If you have four or more personnel who have a cost of 2 or less attempting this mission, this dilemma is cost -3. Choose a Leadership or Security personnel to be stopped. Then choose an Engineer or Programming personnel to be stopped."
After Action Report,2,D,Randomly select a personnel to be stopped for each completed mission you command.
Any Methods Necessary,5,S,"Unless you have a Medical personnel who has Integrity<5 or Intelligence, randomly select a personnel to be placed in your opponent's brig, then all your other personnel are stopped."
Covert Extraction,1,S,"Choose a personnel who has Intelligence or Transporters to be stopped. If you cannot, randomly select a personnel to be killed."
Disaster,1,D,"Place this dilemma on this mission. When your personnel uses a skill while facing a Damage dilemma here, that personnel is stopped. At the end of this turn, this dilemma is overcome."
Hard of Heart,2,P,"Randomly select two personnel. Unless those personnel have Geology and Cunning>11 or Strength>13, those personnel are killed."
Historical Pursuit,1,D,"Unless you have Archaeology, Honor, and Transporters or an Artifact equipment, all your personnel are stopped."
Journey to the Past,4,P,"Unless you have Anthropology, Geology, Science, and Cunning>34 or Diplomacy, Programming, Security, and Strength>32, randomly select three personnel. Place this dilemma in your core, then place those personnel on this dilemma. At the end of your next turn, remove this dilemma from the game and place all personnel here on a planet or headquarters mission."
Know Thy Enemy,2,P,"Reveal your hand and the hand of your opponent on your left. If your opponent reveals personnel with more total Strength than the total Strength of personnel that you have revealed in this way, randomly select one of your personnel to be killed and all your personnel are stopped."
Pattern Loss,1,S,"Place this dilemma on this mission (limit one per mission). When a dilemma requiring Transporters is revealed at this mission, add one level of each skill that is in that dilemma's requirements to those requirements until the end of that dilemma."
Silent Witness,4,S,Randomly select two personnel. Each of those personnel who does not have Leadership is killed.
Surface Defense,3,P,"Unless you have Archaeology, Exobiology, and Programming or 2 Engineer and 2 Physics, all your personnel are stopped and this dilemma is placed on your ship at this mission. Damage - To move this ship, you must stop one of your Navigation personnel aboard."
Underlying Influence,1,P,"Place this dilemma on this mission (limit one per mission). When a dilemma requiring Archaeology is revealed at this mission, add one level of each skill that is in that dilemma's requirements to those requirements until the end of that dilemma."
Unorthodox Recruitment,2,P,"Unless you have Intelligence, randomly select a personnel who has Cunning>6 to be placed in his or her owner's discard pile. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Vanishing Act,3,S,"Unless you have 2 Astrometrics or 2 Transporters, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Disaster *VP,1,D,"Place this dilemma on this mission. When your personnel uses a skill while facing a Damage dilemma here, that personnel is stopped. At the end of this turn, this dilemma is overcome."
Logical Solution,1,S,"Choose one: your opponent chooses your personnel with the most [SD] icons to be placed in your discard pile; or if you have at least one card in hand, discard your hand; or all your personnel are stopped."
Paradise Found,2,P,"This dilemma is cost +1 for each interrupt in your opponent's discard pile. Unless you have Anthropology, 2 Honor, and 2 Leadership or 2 Astrometrics, 2 Engineer, and Cunning>38, randomly select three personnel to be stopped."
V'Ger,3,S,"Unless you have Diplomacy, Exobiology, and Cunning>35 or Archaeology, Programming, and Strength>35, all your personnel are stopped and this dilemma is placed on your ship. Damage - You may not play interrupts."
Dragon's Teeth,3,D,"Randomly select two personnel. Unless their total cost is greater than the number of cards in your hand, they are killed."
Kadis-kot,3,D,"Your opponent names a number. Choose one: stop each of your personnel that has a cost higher than that number, or stop each of your personnel that has a cost lower than that number."
Harried and Harassed,2,D,"Your opponent chooses his or her staffed ship at another mission and places it at this mission. If he or she commands a Pursuit event, this dilemma returns to its owner's dilemma pile."
Bread and Circuses,4,D,"Each of your personnel with a cost of 1 or less cannot use their skills while facing this dilemma. Unless you have Archaeology, Diplomacy, and Honor or Exobiology, Transporters, and Treachery, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Brink of War,3,D,"Unless you have 3 Diplomacy or Cunning>40, randomly select a personnel to be stopped, then this dilemma is placed in your core. When an opponent begins an engagement involving one of your ships, each opponent's ship involved is Weapons +2."
Flashpoint,3,D,"Your opponent chooses [AU], [Fut], or [Pa]. Randomly select two personnel. Unless neither of those personnel have that icon or both of those personnel have that icon, they are killed."
Shaken Confidence,4,D,"When this dilemma is revealed, it is cost -1 for each Paranoia event your opponent commands. Unless you have 2 Intelligence, randomly select three personnel to be stopped."
Unfamiliar Etiquette,1,D,"Your opponent chooses an event you command (if he or she cannot, this dilemma is overcome). Unless you choose to destroy that event, stop each personnel with a cost greater than the cost of that event."
Weight of Command,3,D,Randomly select three personnel. Each Officer personnel selected is stopped. Then place each unstopped [Rom] selected at your headquarters mission.
Polywater Intoxication *VP,0,D,"If you have six or more personnel attempting this mission, this dilemma is cost +3. Choose a personnel to be stopped and this dilemma returns to its owner's dilemma pile."
Greater Needs *VP,3,P,"Unless you have Anthropology, Diplomacy, Exobiology, and Integrity>30 or Leadership, Transporters, Treachery, and Strength>30, all your personnel are stopped and this dilemma is placed on your ship at this mission. Damage - Your personnel cannot begin a mission attempt at this mission."
Indecent Proposal *VP,3,D,"Randomly select a personnel who costs 5 or more to be stopped. If you cannot, your opponent chooses a personnel to be stopped. If a personnel who costs 5 or more was stopped by this dilemma, return this dilemma to its owner's dilemma pile."
Aceton Assimilators,4,D,"Your opponent names a dilemma. Search your dilemma pile for a copy of that dilemma and place it beneath your opponent's non-headquarters mission, then choose a personnel to be stopped for each copy of that dilemma beneath your opponent's missions. Shuffle and replace your dilemma pile."
Dereliction of Duty,0,D,"Place this dilemma on this mission. Your personnel at this mission cannot use their abilities. At the end of this mission attempt, this dilemma is overcome."
Space Seed,9,P,"This dilemma is cost -1 for each Genetically Enhanced personnel this dilemma's owner commands. Unless you have 3 Security and Strength>40 or 2 Telepathy and Cunning>40, randomly select two personnel. If this dilemma's owner commands {To Rule in Hell}, he or she may place those personnel on {Ceti Alpha V} to take command of them (they become [NA])."
Frame of Mind,4,D,"Unless you have 3 Security or 2 Telepathy or {William T. Riker}, randomly select all but one of your personnel. Place them on the bottom of your deck, then reveal cards from the top of your deck until you reveal the same number of personnel cards. You now command those personnel, they join the mission attempt (discard any duplicate unique personnel). Place the other revealed cards on the bottom of your deck."
Hazardous Materials,3,S,"For each {Trellium-D} the opponent on your left commands, randomly select a personnel to be killed. Unless you have Engineer, Medical, and Security or Anthropology, Navigation, and Officer, place this dilemma on your ship. Damage - When your opponent plays an equipment that costs 1 or more, randomly select a personnel aboard this ship to be killed."
Macrovirus,4,D,"Randomly select a personnel to be stopped. Unless you have 2 Exobiology and 2 Science or Medical, Security, and a Hand Weapon, that personnel is killed and this dilemma is placed on your ship at this mission. Damage - When your opponent plays an interrupt on his or her turn, randomly select a personnel aboard this ship to be killed."
Subspace Fracture,3,P,"Randomly select a personnel to be stopped. Unless you have 2 Geology and 2 Transporters or Honor, Officer, and a non-Hand Weapon equipment, that personnel is killed and this dilemma is placed on your ship at this mission. Damage - When your opponent plays an event that costs 2 or more, randomly select a personnel aboard this ship to be killed."
Excalbian Drama *VP,0,P,"When your opponent reveals this dilemma, he or she may discard any number of cards from hand. For each card discarded this way, add 5 Integrity to this dilemma's requirements. Unless you have Integrity>30, all your personnel are stopped."
Inferiority *VP,3,D,"Place this dilemma in your core. When your personnel begin a mission attempt, your opponent may remove this dilemma from the game to draw three extra dilemmas and spend three extra in total cost on dilemmas."
Temporal Misalignment *VP,2,P,Randomly select X personnel to be stopped.
Archaic Snare,4,S,"Unless you have Archaeology, 2 Security, and Cunning>32 or 3 Engineer, Navigation, and Physics, all your personnel are stopped and this dilemma is placed on this mission. When a ship is about to move from this mission, randomly select a personnel aboard to be killed."
Divergent Goals,2,P,"Randomly select three personnel. Unless those personnel have Anthropology, Geology, and Integrity>17 or your unselected personnel have Biology, Officer, and 2 Transporters, all your personnel are stopped."
Environmental Contaminants,4,P,"While you have a higher score than each of your opponents, this dilemma is cost -3. Unless you have Biology, 2 Diplomacy, and 2 Science or 2 Engineer, 2 Exobiology, and Cunning>38, randomly select two personnel to be killed."
Interstellar Exigence,2,D,"Choose a Law personnel to be stopped, then randomly select an additional personnel to be stopped for each headquarters mission the opponent on your left commands."
Isolated Detachment,2,S,"Randomly select three personnel. Unless those personnel have Diplomacy, Programming, and Cunning>17 or your unselected personnel have Engineer, Physics, and 2 Security, all your personnel are stopped."
Arresting Display,3,D,"Unless you have Anthropology, Security, and Telepathy or 2 Exobiology, Medical, and Cunning>38, all your personnel are stopped. If you played an interrupt while facing this dilemma, place this dilemma in your core. To play an interrupt, you must discard an interrupt from hand."
Compromised Experiment,1,D,The opponent on your left chooses an event you command. Randomly select a number of personnel to be stopped equal to that event's Decay number.
Elemental Instability,3,D,"The opponent on your left chooses a personnel to be killed for each {Trellium-D} you command. Unless you have 2 Engineer and 2 Science or 2 Acquisition and 2 Biology, choose two [Cmd] personnel to be stopped."
Overindulgence,2,D,"The opponent on your left names a skill. If you have five or more of that skill, all your personnel are stopped."
Threading the Needle,3,S,"Unless you have 2 Navigation, 2 Officer, and Transporters or 2 Engineer, 2 Programming, and Strength>38, all your personnel are stopped. Otherwise, place this dilemma on this mission. Ships cannot move from this mission. At the end of this turn, this dilemma is overcome."
Xenophobic Outburst,2,D,"Randomly select three personnel. If each personnel is a different affiliation, they are killed. Otherwise, choose one of those personnel to be stopped."
Full Security Alert *VP,3,D,"Randomly select a Security personnel to be stopped. If that personnel costs 2 or less, randomly select two other Security personnel to be stopped."
Unorthodox Recruitment *VP,2,P,"Unless you have Intelligence, randomly select a personnel who has Cunning>6 to be placed in his or her owner's discard pile. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
A Bad Case of par'Mach,3,D,"Choose two personnel to be stopped. If a Klingon personnel or {Jadzia Dax} or {Quark} was stopped by this dilemma, you may draw two cards."
Hostile Takeover,0,D,"Unless you have a lower score than each of your opponents or choose to lose 5 points, place this dilemma on this mission. When you complete this mission, stop each personnel that used a skill to complete that mission."
Nothing to Lose,4,D,"Unless you have an Acquisition personnel who has Integrity<4 or choose a Hologram personnel to be placed in your discard pile, all your personnel are stopped."
Star-crossed,3,D,"Choose a personnel who has Engineer or a non-Human personnel to be stopped. If the opponent on your left commands three [SF] Dissident personnel, place this dilemma in your core. While you do not command a staffed ship at a Region: Sector 001 mission, subtract one from each Consume on each dilemma the opponent on your left owns."
Unsavory Customers,0,D,"Choose a Biology personnel to be stopped. If the opponent on your left commands {Earth} and [HQ] {Luna} (or {Mars}), place this dilemma in your core. While you do not command a non-Human personnel on Earth, you have 1 fewer counter to spend during each of your Play and Draw Cards segments."
Accelerated Aging *VP,2,D,"Place this dilemma on this mission. Each personnel at this mission cannot use their first-listed skill. At the end of this mission attempt, this dilemma is overcome."
Maglock *VP,3,S,"Unless you have 3 Officer or 3 Programming, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Cutting Remark,2,D,"Randomly select a personnel to be stopped. If you command four or more events that cost 2 or less, destroy two of your events."
Rascals,2,D,"Unless your personnel have a total cost<17, for each headquarters mission you command, randomly select a personnel to be killed."
Royale Casino: Craps,2,D,"Unless you reveal a personnel from hand with Cunning 7 or Cunning 11, all your personnel are stopped. When this dilemma is overcome, if it was prevented, each opponent may reveal a personnel from hand with Cunning 7 or Cunning 11 to score 10 points."
The Doomsday Machine,1,P,"Unless you command two staffed ships at this mission, the opponent on your left may download a Damage card and place it on one of your ships at this mission."
The Phase,2,D,"Choose a personnel who has [Cmd] and Officer or an Android or a Hologram to be stopped. If you cannot, randomly select personnel until their total cost is 4 or more. Place those personnel on the bottom of their owner's deck."
Truculent Statecraft,1,S,"Choose a Law personnel to be stopped. If you cannot, place this dilemma in your core. While your opponent commands an Assault or Maneuver event, dilemmas cannot be prevented."
Edo Probe,0,D,"Unless you have a personnel with Diplomacy and Law, place this dilemma on this mission (limit one per mission). When you complete this mission, if this dilemma was faced this turn, score 5 points. Otherwise, your opponent scores 5 points."
Hippocratic Oath,3,D,"Your opponent chooses a planet mission in play. Unless you place a personnel with Exobiology or Medical on that planet, all your personnel are stopped."
Rules of Obedience,6,D,"If your opponent commands a Mirror mission, this dilemma is cost -2. Your opponent chooses one: kill the personnel with the fewest [SD] icons; or kill the personnel with the highest Integrity. Unless you have Geology and 2 Honor or 2 Security and 2 Treachery or {Miles O'Brien}, all your personnel are stopped."
Spot,9,S,This dilemma is cost -3 for each space dilemma beneath this mission. Your opponent chooses two personnel with Engineer or Security to be stopped.
Hippocratic Oath *,3,D,"Your opponent chooses a planet mission in play. Unless you place a personnel with Exobiology or Medical on that planet, all your personnel are stopped."
Old Differences *VP,4,D,"When you reveal this dilemma from the dilemma stack, if this mission is worth 35 or less points, it is cost -1. Randomly select two personnel to be stopped."
Rogue Borg Ambush *VP,3,P,"Unless you have Intelligence and Cunning>35 or a Hand Weapon and Strength>35, randomly select a personnel to be killed, then all your other personnel are stopped."
Garak Has Some Issues,4,D,"Your opponent names a skill (except Acquisition, Intelligence, Law, or Telepathy). Randomly select three personnel. Each selected personnel who has that skill is stopped. Then kill each selected unstopped [Car] personnel."
Adopted Authority *VP,3,D,"Randomly select a personnel. Unless that personnel has an attribute<5, he or she and a second randomly selected personnel are stopped and this dilemma returns to its owner's dilemma pile. Otherwise, he or she is stopped."
Anachronistic Meddlers,1,D,"When you begin a mission attempt at this mission, the opponent on your left may draw two extra dilemmas and spend two extra in total cost on dilemmas."
Divisive Patron,1,D,"Each dual dilemma revealed at this mission is cost +1. While your personnel is attempting a different mission, each dual dilemma revealed at that mission is cost -1."
Forewarned,2,D,"When this dilemma is overcome, if you do not command a ship at this mission, this dilemma's owner scores 5 points."
Proclamation of Doom,0,D,"When this dilemma is overcome, if an opponent commands a staffed ship at this mission, they draw cards equal to this mission's span."
Spoiler Warning,0,S,"Your opponent names a personnel. When the named personnel begins a mission attempt at this mission, return that personnel to their owner's hand."
These Things Happen,2,D,Randomly select a personnel to be stopped. Each opponent draws a card for each personnel they command at this mission (limit three).
Hot Mess,3,S,"Unless you have a personnel with Biology and Science or a Chef, place this dilemma on your ship. Damage - Each personnel aboard this ship is attributes -1."
More of Gravy Than of Grave,4,D,"Randomly select three personnel. Unless your unselected personnel have the skills on the selected personnel, the selected personnel are stopped."
Chula: The Game *VP,0,D,"Place this dilemma on this mission. When your personnel are about to face a dilemma whose title begins with ""Chula"" here, randomly select one of your personnel attempting this mission to be stopped. When your personnel complete this mission, this dilemma is overcome."
One More Brush Fire,3,P,"Your opponent may place up to two of their personnel on this planet. Unless you have more Diplomacy than your opponent on this planet, all your personnel are stopped."
Piratical Boarders,3,S,"Your opponent may place up to two of their personnel aboard your ship. Unless you have more Security than your opponent aboard this ship, all your personnel are stopped."
Bio-ship Attack,3,S,"Unless you have Navigation, Physics, and Shields>8 or 2 Exobiology, 2 Programming and Cunning>32, all your personnel are stopped, and this dilemma is placed on your ship. Damage - When this dilemma is removed from your ship, place it in your core."
Equinox Conspiracy,3,S,"Unless you have Diplomacy, Exobiology, Navigation, and Treachery or Intelligence, Programming, Security, and Cunning>32, randomly select two personnel to be stopped. If this dilemma's owner commands {U.S.S. Equinox}, they may discard a Nucleogenic card from hand to kill those personnel instead."
Photonic Turncoat,2,S,"Unless you have Diplomacy, Science, and Integrity>34 or Engineer, Security, Transporters, and Strength>32, if the opponent on your left commands {Grid 296}, randomly select a personnel. Your opponent places that personnel on their Holoprogram event. (You no longer command that personnel.)"
Plans Within Plans,3,D,Choose one: randomly select three personnel to be stopped; your opponent destroys an event you command; or discard an interrupt from hand.
Race Relations,2,P,"Unless you have Anthropology and Cunning>32 or a personnel with 2 Exobiology, randomly select a personnel to be stopped. If four or more personnel of the same species are remaining, place this dilemma in your core."
Suspicion,1,P,Your opponent chooses a personnel to be stopped. You may stop two personnel who each share a skill with the chosen personnel to prevent this.
Tak Tak Negotiations,3,P,"Your opponent downloads a Diplomacy personnel. Unless you have the skills on that personnel (except Acquisition, Intelligence, Law, or Telepathy), all your personnel are stopped. Otherwise, your opponent may place the downloaded personnel where he or she could be played."
The Clown: Celebration,1,D,"Place this dilemma on this mission. When you fail a mission attempt at this mission, begin your Discard Excess Cards segment. At the end of this turn, this dilemma returns to its owner's dilemma pile."
The Clown: Cloaking Device,2,D,"Place this dilemma on this mission. Add 3 to each attribute requirement needed to complete this mission for each different equipment the opponent on your left commands. At the end of this turn, this dilemma is overcome."
The Clown: Fear Incarnate,1,D,"Place this dilemma on this mission (limit one per mission). When the first dilemma whose title begins with ""{The Clown}"" (except a copy of this dilemma) is about to be faced during a mission attempt at this mission, randomly select a personnel to be stopped. When that mission attempt ends, if this mission is incomplete, kill that personnel."
The Clown: Ultimatum,2,D,"Your opponent examines your hand and chooses two cards. Unless you choose to discard those cards, randomly select a personnel to be killed."
The Killing Game,8,S,"For each event your opponent commands in their core, this dilemma is cost -1 (-2 for each Decay event). Unless you have 2 Engineer, 2 Medical, and Cunning>38 or 2 Diplomacy, Leadership, and 2 Physics, randomly select two personnel to be placed in your opponent's brig."
